%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
72.0, -11877.717003550173, -14718.6237238197, -83604.26379493043, -37411.65696521485, -12225.979533908312, -33311.85529373351, -15967.370983048795, -58174.48296242749, -36590.87855707152, -40160.4297948396, -71283.28934708708, -86958.45597487164, -11559.897549140162, -68259.63476415095, -16272.293480908094, -57242.10229421882, 0.126859375, 0.9744062499999999, 0.048718750000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498605826E9, 0.0, 2025-03-12 17:07:29.860
74.0, -11880.153343695802, -14741.958945031041, -83825.72487899363, -37400.90577613185, -12377.680823526482, -33284.72027596477, -16043.03163803001, -58124.593868803255, -36365.70708342875, -40206.16146399516, -71336.55355412407, -87007.42864697322, -11629.120901718248, -68320.00682592473, -16149.00125849262, -57294.4724314776, 0.126859375, 0.9744062499999999, 0.048718750000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498606048E9, 0.0, 2025-03-12 17:07:29.860
76.0, -11884.221361186668, -14716.545011585356, -83649.32491175234, -37426.14089562189, -12247.034877185211, -33325.73572704026, -15894.258426935487, -58190.95619809106, -36647.40611879899, -40167.04591119837, -71296.11924840441, -86967.59783835386, -11599.14721240368, -68276.39857249243, -16252.35572485396, -57248.204320455116, 0.128, 0.974, 0.048, 192.0, 2.0, 0.0, 15.0, 56.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.741766849860627E9, 0.0, 2025-03-12 17:07:29.860
78.0, -11874.990090726626, -14733.375875160204, -83754.44516592564, -37424.12923862091, -12370.528265300783, -33309.575415799074, -15871.683165035627, -58132.908717740625, -36340.58372266099, -40233.58705444182, -71361.56515616956, -87027.81343791645, -11638.866262300762, -68342.47032910232, -16106.75646147209, -57309.8280799184, 0.128, 0.974, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849990686E9, 0.0, 2025-03-12 17:07:29.990
80.0, -11865.82587549995, -14705.346787613249, -83719.59879631983, -37411.96988963722, -12245.000868439778, -33310.491837321744, -15772.799047565348, -58175.555846161355, -36706.70529683892, -40146.95169293305, -71273.05224812654, -86938.85349498433, -11612.982942221517, -68251.63283963596, -16226.07007337452, -57211.99449443752, 0.128, 0.974, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668499907436E9, 0.0, 2025-03-12 17:07:29.990
82.0, -11882.656739074797, -14727.653828579645, -83683.72424646905, -37456.65102680338, -12347.30480281172, -33339.616160347, -15673.557302183784, -58183.15543927615, -36306.34085015546, -40257.726938453554, -71384.81097040308, -87049.65109224929, -11639.894442545707, -68363.05628574565, -16062.27649000603, -57320.86984167932, 0.128, 0.974, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668499907725E9, 0.0, 2025-03-12 17:07:29.990
84.0, -11878.320500650467, -14721.48474710998, -83771.0748638004, -37445.273988875626, -12273.208769942376, -33340.621988847495, -15630.239621429399, -58204.81427965335, -36744.79266939076, -40165.81656525333, -71297.8850362164, -86961.56286735092, -11652.21025374058, -68277.15853180391, -16193.905913103334, -57232.15576793621, 0.128, 0.974, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668499908E9, 0.0, 2025-03-12 17:07:29.990
86.0, -11902.393329428833, -14745.468168910524, -83611.86338804524, -37503.165007014875, -12348.623555734583, -33380.94453584487, -15467.384811328033, -58218.9405821491, -36313.649870592344, -40290.382837102756, -71418.94208418633, -87084.81038627749, -11646.979945538038, -68391.35359422608, -16032.883946047301, -57343.10982741235, 0.128, 0.98, 0.044, 192.0, 2.0, 0.0, 15.0, 80.0, 0.5, 48.0, 0.0, 0.0, 0.0, 1.7417668499908268E9, 0.0, 2025-03-12 17:07:29.990
88.0, -11908.1600794983, -14746.429293922103, -83815.80070445547, -37467.60338158648, -12320.549764698717, -33332.731823054775, -15477.979538199848, -58198.17581155012, -36773.939344160484, -40198.584222624806, -71326.11528946344, -86991.31303922094, -11693.471574005078, -68306.3275583181, -16160.780627820568, -57245.18683495365, 0.128, 0.98, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668499909568E9, 0.0, 2025-03-12 17:07:29.990
90.0, -11926.466158207199, -14750.564366646335, -83547.82564018079, -37523.32628051356, -12349.696439468436, -33356.26820996621, -15283.586416672042, -58228.23890784251, -36336.85098133695, -40294.60731680481, -71432.6660552819, -87097.48382538365, -11657.485265432033, -68406.97746360034, -16020.769300552523, -57343.75802800155, 0.128, 0.98, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668499909832E9, 0.0, 2025-03-12 17:07:29.990
